(mnist_lab) zzm@autodl-container-a53c499c18-6d3fc5e8:~/LAB/lab4/src$ python /home/zzm/LAB/lab4/src/main.py
Some weights of the model checkpoint at /home/zzm/LAB/lab4/src/model_hub/chinese-bert-wwm-ext were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/torch/nn/modules/rnn.py:1013: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.1 and num_layers=1
  super().__init__("LSTM", *args, **kwargs)
/home/zzm/miniconda3/envs/mnist_lab/lib/python3.10/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/1 304/834 loss:16.175262
【train】1/1 305/834 loss:12.992190
【train】1/1 306/834 loss:13.517168
【train】1/1 307/834 loss:13.426743
【train】1/1 308/834 loss:7.343963
【train】1/1 309/834 loss:11.986011
【train】1/1 310/834 loss:10.089907
【train】1/1 311/834 loss:7.414183
【train】1/1 312/834 loss:19.044945
【train】1/1 313/834 loss:15.459533
【train】1/1 314/834 loss:10.949604
【train】1/1 315/834 loss:10.830877
【train】1/1 316/834 loss:9.674667
【train】1/1 317/834 loss:9.883746
【train】1/1 318/834 loss:16.021393
【train】1/1 319/834 loss:11.869331
【train】1/1 320/834 loss:12.869304
【train】1/1 321/834 loss:15.403770
【train】1/1 322/834 loss:10.222143
【train】1/1 323/834 loss:14.069934
【train】1/1 324/834 loss:8.203176
【train】1/1 325/834 loss:7.532684
【train】1/1 326/834 loss:6.914978
【train】1/1 327/834 loss:9.865121
【train】1/1 328/834 loss:8.810015
【train】1/1 329/834 loss:17.320749
【train】1/1 330/834 loss:10.134792
【train】1/1 331/834 loss:12.503717
【train】1/1 332/834 loss:6.555499
【train】1/1 333/834 loss:11.300657
【train】1/1 334/834 loss:14.471939
【train】1/1 335/834 loss:11.091818
【train】1/1 336/834 loss:15.891775
【train】1/1 337/834 loss:13.466553
【train】1/1 338/834 loss:16.517483
【train】1/1 339/834 loss:10.500401
【train】1/1 340/834 loss:12.172511
【train】1/1 341/834 loss:16.494699
【train】1/1 342/834 loss:15.301264
【train】1/1 343/834 loss:9.861050
【train】1/1 344/834 loss:15.293353
【train】1/1 345/834 loss:13.365493
【train】1/1 346/834 loss:10.844905
【train】1/1 347/834 loss:11.066525
【train】1/1 348/834 loss:10.772600
【train】1/1 349/834 loss:14.665400
【train】1/1 350/834 loss:11.327216
【train】1/1 351/834 loss:11.735255
【train】1/1 352/834 loss:9.847879
【train】1/1 353/834 loss:12.668211
【train】1/1 354/834 loss:14.502028
【train】1/1 355/834 loss:7.605924
【train】1/1 356/834 loss:12.592630
【train】1/1 357/834 loss:9.094748
【train】1/1 358/834 loss:15.542262
【train】1/1 359/834 loss:13.759222
【train】1/1 360/834 loss:7.627374
【train】1/1 361/834 loss:14.529567
【train】1/1 362/834 loss:17.463774
【train】1/1 363/834 loss:10.461018
【train】1/1 364/834 loss:10.584007
【train】1/1 365/834 loss:21.749550
【train】1/1 366/834 loss:13.420207
【train】1/1 367/834 loss:10.586748
【train】1/1 368/834 loss:7.874592
【train】1/1 369/834 loss:8.076838
【train】1/1 370/834 loss:9.809122
【train】1/1 371/834 loss:9.686628
【train】1/1 372/834 loss:11.600142
【train】1/1 373/834 loss:9.242271
【train】1/1 374/834 loss:15.125609
【train】1/1 375/834 loss:7.980228
【train】1/1 376/834 loss:12.694862
【train】1/1 377/834 loss:10.383007
【train】1/1 378/834 loss:12.388125
【train】1/1 379/834 loss:5.197749
【train】1/1 380/834 loss:19.249073
【train】1/1 381/834 loss:9.949289
【train】1/1 382/834 loss:11.776954
【train】1/1 383/834 loss:12.213230
【train】1/1 384/834 loss:8.856283
【train】1/1 385/834 loss:7.156779
【train】1/1 386/834 loss:7.719432
【train】1/1 387/834 loss:8.909168
【train】1/1 388/834 loss:13.173892
【train】1/1 389/834 loss:5.580714
【train】1/1 390/834 loss:8.501116
【train】1/1 391/834 loss:14.136854
【train】1/1 392/834 loss:13.622534
【train】1/1 393/834 loss:7.737592
【train】1/1 394/834 loss:4.698665
【train】1/1 395/834 loss:14.392566
【train】1/1 396/834 loss:8.573409
【train】1/1 397/834 loss:15.515085
【train】1/1 398/834 loss:14.882891
【train】1/1 399/834 loss:13.493397
【train】1/1 400/834 loss:9.987349
【train】1/1 401/834 loss:10.598843
【train】1/1 402/834 loss:10.489619
【train】1/1 403/834 loss:14.323692
【train】1/1 404/834 loss:14.514590
【train】1/1 405/834 loss:12.916049
【train】1/1 406/834 loss:10.758650
【train】1/1 407/834 loss:12.976583
【train】1/1 408/834 loss:13.692757
【train】1/1 409/834 loss:8.164429
【train】1/1 410/834 loss:9.960524
【train】1/1 411/834 loss:5.801685
【train】1/1 412/834 loss:6.039001
【train】1/1 413/834 loss:7.340706
【train】1/1 414/834 loss:14.885687
【train】1/1 415/834 loss:12.328611
【train】1/1 416/834 loss:4.810252
【train】1/1 417/834 loss:10.281555
【train】1/1 418/834 loss:7.951667
【train】1/1 419/834 loss:8.927633
【train】1/1 420/834 loss:9.270372
【train】1/1 421/834 loss:5.069461
【train】1/1 422/834 loss:7.352197
【train】1/1 423/834 loss:12.252361
【train】1/1 424/834 loss:8.984234
【train】1/1 425/834 loss:11.379405
【train】1/1 426/834 loss:16.960262
【train】1/1 427/834 loss:10.569400
【train】1/1 428/834 loss:16.237238
【train】1/1 429/834 loss:13.938919
【train】1/1 430/834 loss:4.175895
【train】1/1 431/834 loss:16.857292
【train】1/1 432/834 loss:7.434867
【train】1/1 433/834 loss:8.645274
【train】1/1 434/834 loss:5.830423
【train】1/1 435/834 loss:12.919844
【train】1/1 436/834 loss:8.612205
【train】1/1 437/834 loss:6.611240
【train】1/1 438/834 loss:11.572837
【train】1/1 439/834 loss:6.990112
【train】1/1 440/834 loss:13.317820
【train】1/1 441/834 loss:4.335685
【train】1/1 442/834 loss:13.231589
【train】1/1 443/834 loss:14.803930
【train】1/1 444/834 loss:9.980194
【train】1/1 445/834 loss:7.555808
【train】1/1 446/834 loss:20.199898
【train】1/1 447/834 loss:11.885412
【train】1/1 448/834 loss:11.600909
【train】1/1 449/834 loss:12.979485
【train】1/1 450/834 loss:8.981209
【train】1/1 451/834 loss:6.925114
【train】1/1 452/834 loss:8.786624
【train】1/1 453/834 loss:9.257145
【train】1/1 454/834 loss:9.140242
【train】1/1 455/834 loss:7.553188
【train】1/1 456/834 loss:11.693321
【train】1/1 457/834 loss:13.675737
【train】1/1 458/834 loss:10.282504
【train】1/1 459/834 loss:5.856296
【train】1/1 460/834 loss:13.830603
【train】1/1 461/834 loss:17.824661
【train】1/1 462/834 loss:9.500819
【train】1/1 463/834 loss:4.241225
【train】1/1 464/834 loss:10.686857
【train】1/1 465/834 loss:18.608521
【train】1/1 466/834 loss:9.810047
【train】1/1 467/834 loss:21.109385
【train】1/1 468/834 loss:14.243979
【train】1/1 469/834 loss:9.417347
【train】1/1 470/834 loss:10.076466
【train】1/1 471/834 loss:9.512136
【train】1/1 472/834 loss:11.545538
【train】1/1 473/834 loss:4.219150
【train】1/1 474/834 loss:15.353512
【train】1/1 475/834 loss:20.002378
【train】1/1 476/834 loss:7.273489
【train】1/1 477/834 loss:13.995563
【train】1/1 478/834 loss:16.571379
【train】1/1 479/834 loss:8.605338
【train】1/1 480/834 loss:3.962900
【train】1/1 481/834 loss:8.440414
【train】1/1 482/834 loss:9.290103
【train】1/1 483/834 loss:15.364093
【train】1/1 484/834 loss:8.969241
【train】1/1 485/834 loss:29.720093
【train】1/1 486/834 loss:9.609358
【train】1/1 487/834 loss:13.700871
【train】1/1 488/834 loss:18.521452
【train】1/1 489/834 loss:7.602328
【train】1/1 490/834 loss:14.876795
【train】1/1 491/834 loss:5.714270
【train】1/1 492/834 loss:10.510627
【train】1/1 493/834 loss:8.194611
【train】1/1 494/834 loss:9.393742
【train】1/1 495/834 loss:12.276782
【train】1/1 496/834 loss:2.622246
【train】1/1 497/834 loss:12.686361
【train】1/1 498/834 loss:8.941804
【train】1/1 499/834 loss:8.512888
【train】1/1 500/834 loss:4.793045
【train】1/1 501/834 loss:9.998359
【train】1/1 502/834 loss:14.031775
【train】1/1 503/834 loss:15.383704
【train】1/1 504/834 loss:11.779816
【train】1/1 505/834 loss:13.395022
【train】1/1 506/834 loss:9.825221
【train】1/1 507/834 loss:8.946480
【train】1/1 508/834 loss:8.966976
【train】1/1 509/834 loss:7.819713
【train】1/1 510/834 loss:10.637716
【train】1/1 511/834 loss:9.352260
【train】1/1 512/834 loss:9.930656
【train】1/1 513/834 loss:14.411478
【train】1/1 514/834 loss:10.755045
【train】1/1 515/834 loss:6.944920
【train】1/1 516/834 loss:4.358910
【train】1/1 517/834 loss:8.707035
【train】1/1 518/834 loss:16.514315
【train】1/1 519/834 loss:6.672001
【train】1/1 520/834 loss:12.861247
【train】1/1 521/834 loss:14.977770
【train】1/1 522/834 loss:9.912732
【train】1/1 523/834 loss:10.064287
【train】1/1 524/834 loss:9.806017
【train】1/1 525/834 loss:12.015152
【train】1/1 526/834 loss:7.331029
【train】1/1 527/834 loss:7.002743
【train】1/1 528/834 loss:8.712935
【train】1/1 529/834 loss:8.891486
【train】1/1 530/834 loss:9.843857
【train】1/1 531/834 loss:12.719704
